field_trial_id,Table number,Treatment 1,Grain yield (t/ha).2,Soil strength (kPa),Water droplet penetration time (seconds),Soil loosening depth (cm)
AVP00003-A,4,Deep Rip Inclusion,1.02,,,
AVP00003-A,4,Deep Rip + Spade,1.15,,,
AVP00003-A,4,Heliripper,1.58,,,
AVP00003-A,4,Heliripper Inclusion,1.5,,,
AVP00003-A,4,Heliripper + Spade,1.63,,,
AVP00003-A,4,Heliripper + One Way Plough,1.4,,,
AVP00003-A,4,Heliripper Inclusion + Spade,1.66,,,
AVP00003-A,4,One Way Plough,1.03,,,
AVP00003-A,4,Mouldboard Plough,1.25,,,
AVP00003-A,4,Mouldboard Plough + Heliripper,1.32,,,
AVP00003-A,4,Control,0.89,,,
AVP00003-A,5,Deep Rip,0.39,,,
AVP00003-A,5,Deep Rip Inclusion,0.41,,,
AVP00003-A,5,Deep Rip + Spade,0.5,,,
AVP00003-A,5,Heliripper,0.59,,,
AVP00003-A,5,Heliripper Inclusion,0.57,,,
AVP00003-A,5,Heliripper + Spade,0.6,,,
AVP00003-A,5,Heliripper + One Way Plough,0.57,,,
AVP00003-A,5,Heliripper Inclusion + Spade,0.63,,,
AVP00003-A,5,One Way Plough,0.48,,,
AVP00003-A,5,Mouldboard Plough,0.55,,,
AVP00003-A,5,Mouldboard Plough + Heliripper,0.56,,,
AVP00003-A,5,Control,0.39,,,
